,book_title,author,link,price_no_disc,price_with_disc
696,Hands-On Enterprise Automation with Python,Bassem Aly,https://bookshop.org//books/hands-on-enterprise-automation-with-python/9781788998512,$47.99,$47.99
697,Introduction to Python Programming,Amritesh Banerjee,https://bookshop.org//books/introduction-to-python-programming-9798685328465/9798685328465,$35.00,$35.00
698,Python Without Fear,Brian Overland,https://bookshop.org//books/python-without-fear/9780134687476,$39.99,$39.99
699,Hands-On Blockchain for Python Developers,Arjuna Sky Kok,https://bookshop.org//books/hands-on-blockchain-for-python-developers/9781788627856,$53.99,$53.99
700,Python Geospatial Analysis Cookbook,Michael Diener,https://bookshop.org//books/python-geospatial-analysis-cookbook/9781783555079,$59.99,$59.99
701,Applied Unsupervised Learning with Python,"Aaron Jones, Benjamin Johnston,  et al.",https://bookshop.org//books/applied-unsupervised-learning-with-python/9781789952292,$53.99,$53.99
702,Pyomo - Optimization Modeling in Python,"Carl Laird, William E Hart,  et al.",https://bookshop.org//books/pyomo-optimization-modeling-in-python/9781489993250,$74.99,$74.99
703,SAS Viya: The Python Perspective,Kevin D. Smith and Xiangxiang Meng,https://bookshop.org//books/sas-viya-the-python-perspective/9781629602769,$55.95,$55.95
704,Python 3 Image Processing,Ashwin Pajankar,https://bookshop.org//books/python-3-image-processing/9789388511728,$13.99,$13.99
705,Job Ready Python,"Haythem Balti, Alan Galloway,  et al.",https://bookshop.org//books/job-ready-python/9781119817383,$40.00,$36.80
706,Python X Hacking Bundle: An In-Depth Bundle Into the...,The Code Academy,https://bookshop.org//books/python-x-hacking-bundle-an-in-depth-bundle-into-the-essentials-of-python-and-hacking/9781546891697,$42.18,$42.18
707,Python: Leverage benefits of machine learning techniques...,"Sebastian Raschka, John Hearty,  et al.",https://bookshop.org//books/python-leverage-benefits-of-machine-learning-techniques-using-python/9781787128576,$107.99,$107.99
